date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:41	1270/1270	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Oct%202016%2017:05:47%20GMT	http://www.makeproductions.com/wp-content/plugins/contact-form-7/includes/css/styles.css	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/plugins/contact-form-7/includes/css/styles.css	(from http://www.makeproductions.com/)
12:16:42	47207/47207	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202017%2011:14:34%20GMT	http://www.makeproductions.com/wp-content/plugins/revslider/public/assets/css/settings.css	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/plugins/revslider/public/assets/css/settings.css	(from http://www.makeproductions.com/)
12:16:43	1118/1118	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Oct%202016%2017:06:01%20GMT	http://www.makeproductions.com/wp-content/plugins/showcase-visual-composer-addon/assets/css/owl.carousel.min.css	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/plugins/showcase-visual-composer-addon/assets/css/owl.carousel.min.css	(from http://www.makeproductions.com/)
12:16:44	1133/1133	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Oct%202016%2017:06:01%20GMT	http://www.makeproductions.com/wp-content/plugins/showcase-visual-composer-addon/assets/css/owl.theme.min.css	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/plugins/showcase-visual-composer-addon/assets/css/owl.theme.min.css	(from http://www.makeproductions.com/)
12:16:45	2543/2543	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Oct%202016%2017:06:01%20GMT	http://www.makeproductions.com/wp-content/plugins/showcase-visual-composer-addon/assets/css/style.min.css	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/plugins/showcase-visual-composer-addon/assets/css/style.min.css	(from http://www.makeproductions.com/)
12:16:46	78438/78438	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202017%2010:55:10%20GMT	http://www.makeproductions.com/wp-content/themes/rhythm/css/bootstrap.min.css	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/themes/rhythm/css/bootstrap.min.css	(from http://www.makeproductions.com/)
12:16:49	12405/12405	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202017%2010:55:10%20GMT	http://www.makeproductions.com/wp-content/themes/rhythm/css/style-responsive.css	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/themes/rhythm/css/style-responsive.css	(from http://www.makeproductions.com/)
12:16:49	184049/184049	---MCZ	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202017%2010:55:10%20GMT	http://www.makeproductions.com/wp-content/themes/rhythm/css/style.css	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/themes/rhythm/css/style.css	(from http://www.makeproductions.com/)
12:16:49	53431/53431	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202017%2010:55:10%20GMT	http://www.makeproductions.com/wp-content/themes/rhythm/css/animate.min.css	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/themes/rhythm/css/animate.min.css	(from http://www.makeproductions.com/)
12:16:50	10641/10641	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202017%2010:55:10%20GMT	http://www.makeproductions.com/wp-content/themes/rhythm/css/vertical-rhythm.min.css	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/themes/rhythm/css/vertical-rhythm.min.css	(from http://www.makeproductions.com/)
